air-cooled condenser;n.;null;geothermal energy;heat exchange;condenseur à air;A condenser that rejects heat to the surrounding air.;Carbon Architecture;Based on : How refrigeration works;website, 2013;http://effbox.com/product/how-it-works/;"1. ""In a binary geothermal plant where there is not a sufficient supply of water for an evaporative cooling system, heat must be rejected to atmospheric air. This heat rejection is accomplished through the use of large air-cooled condenser units in which air is forced through several rows of long individually finned tubes by large fans.""

2. ""An air-cooled condenser used for refrigeration and heat pump applications generally consists of plate-fin-tubes.""";"
1.M. S. SOHAL, J. E. O’BRIEN
Date: 2001
http://geothermal.inel.gov/publications/articles/sohalgrc90-01paper.pdf
2.Shuangquan SHAO, Xianting LI, Wenxing SHI
";"1.Title: Improving Air-cooled Condenser Performance using Winglets and oval Tubes in a Geothermal Power Plant 

2.Title: A Universal Simulation Model of Air-Cooled Condenser Consisting of Plate-Fin-Tube";"
1. website, 2001

2. website, 2003
";"
1. http://geothermal.inel.gov/publications/articles/sohalgrc90-01paper.pdf                      
2.
http://scitation.aip.org/getabs/servlet/GetabsServlet?prog=normal&id=ASMECP002003036932000729000001&idtype=cvips&gifs=yes&ref=no";An Air Cooled Condenser (ACC) is made of modules arranged in parallel rows. Each module contains a number of fin tube bundles. An axial flow, forced-draft fan located in each module forces the cooling air across the heat exchange area of the fin tubes.;SPX Cooling Technologies ;Air Cooled Condensers - Dry Cooling   ;website, 2012;http://spxcooling.com/en/products/detail/air-cooled-condensers;null;air-cooled condenser system, air-cooled condenser unit;null;null;air condenser, ACC;null;null;condenser;fin and tube condenser, plate condenser;module, fin tube, fan, coil, bundle;heat pump (not systematic), geothermal plant  (not systematic);;;;;;;;
binary plant ;n.;null;geothermal energy;electricity production;centrale à fluide binaire;A geothermal plant where a second fluid in a closed cycle is used to operate the turbine rather than geothermal steam.;US DEPARTMENT OF ENERGY;Based on : Geothermal;website, 2012;http://energy.gov/eere/geothermal/geothermal-technologies-office;"""In a binary plant the hot water circuit passing through the thermal source is separated from the closed loop working fluid circuit used in the turbine by a heat exchanger.""";"TItle: Geothermal Energy 
Author: Woodbank Communications Ltd
Date: 2005
http://www.mpoweruk.com/geothermal_energy.htm";;;;In the binary conversion process, the geothermal fluid is sent through a heat exchanger where it vapourizes a secondary working fluid with appropriate thermodynamic properties, typically a lower boiling-point than water. The working fluid is expanded in a turbine, condensed and reheated for another cycle, all in a closed loop. The spent geothermal fluids are usually disposed of by reinjection.;"Johan LUNDIN, Urban LUNDIN and Mats LEIJON
";EUSUSTEL WP3 Report – Geothermal power production;report, 2006;http://www.eusustel.be/public/documents_publ/WP/WP3/WP3_Geothermal_energyFINAL.pdf;null;air-cooled binary plant;geothermal binary plant;null;null;null;null;geothermal plant;air-cooled binary plant, water-cooled binary plant, dry-cooled binary plant, Rankine cycle binary plant, Kalina cycle binary plant;turbine, heat exchanger, condenser, generator, pump, working fluid;null;;;;;;;;
cable tool drilling;n.;null;geothermal energy;well drilling;battage;A drilling technique in which a sharply pointed bit attached to a cable is repeatedly picked up and dropped on the bottom of the hole.;"
McGraw-Hill Education";McGraw-Hill Dictionary of Scientific & Technical Terms;Sixth Edition, 2015 (book);null;"""Cable Tool Drilling: The cable tool rig is operated by repeatedly raising and dropping a heavy tool or bit at the end of a cable. Every metre or two, another tool (a bailer) is used to remove the cuttings, providing good samples of the rock encountered. Casing is usually driven as the well is drilled. Though relatively slow, one of the method’s advantages is that the bore is kept relatively clean and any fissures containing water are unlikely to be blocked by the action of the drill.""";" INSTITUT OF GEOLOGISTS OF IRELAND
";Water well construction;report, 2008;http://www.igi.ie/assets/files/Water%20Well%20Guidelines/Guidelines.pdf;The principle of cable-tool drilling is the same as that of a child’s seesaw. When a child is on each end of a seesaw, it moves it up and down. The rocking motion demonstrates the principle of cable-tool drilling. To explore the concept further, one could tie a cable to the end of the seesaw and let the cable dangle straight down to the ground. Next, a heavy chisel with a sharp point could be attached to the dangling end of the cable. By adjusting the cable’s length so the end of the seesaw is all the way up, the chisel point hangs a short distance above the ground. Releasing the seesaw lets the heavy chisel hit hard enough to punch a hole in the ground. Repeating the process and rocking the seesaw causes the chisel to drill a hole.;" Paul BOMMER
";A Primer of Oilwell Drilling;ebook, 2008;http://www.utexas.edu/ce/petex/files/forms/POWD_ebook_demo.pdf;null;cable tool drilling rig, percussion cable tool drilling, cable tool drilling machine;null;null;null;null;percussion drilling (synonym);drilling technique;null;null;null;;;;;;;;
cementing;n.;null;geothermal energy;calorimetry;cimentation;A process referring to the application of a liquid slurry of cement and water to various points inside or outside the casing of a well.;Petex and the University of Texas Austin;Dictionary of Petroleum Terms;website, 2012;http://www.osha.gov/SLTC/etools/oilandgas/glossary_of_terms/glossary_of_terms_c.html;"""The cementing of a casing in a well serves several purposes. It binds the casing to the formation and provides a seal that prevents fluid from flowing behind the casing from one feed zone to another. It also supports the casing and holds it tight and thus prevents free thermal expansion of the casing.""";"Benedikt STEINGRIMSSON
";Geothermal well logging: cement bond and caliper logs  ;report, 2011;http://www.os.is/gogn/unu-gtp-sc/UNU-GTP-SC-12-23.pdf;A successful cementing job depends on three things: (1) hole preparation before running the casing and cementing the annulus, (2) proper slurry weight to control formation-water influx and prevent formation fracture, and (3) short slurry transition period at cool temperatures. ;null;null;null;null;null;well cementing, cementing head, casing cementing, cementing operations, squeeze cementing, cementing plug, cementing hose, cementing basket, cementing collar, cementing depth, cementing pump, cementing shoe, cementing string, cementing unit, stage cementing collar, inner-string cementing, multistage cementing, multiple-stage cementing, secondary cementing;selective cementing;null;null;null;null;null;null;null;null;;;;;;;;
coefficient of performance ;n.;null;geothermal energy;energy production;coefficient de performance;A measure that indicates the ratio of heat energy delivered or extracted to the work supplied to operate the equipment.;"Office of the Administrator/Office of Business and Community Innovation

";Top Green Home Terms;website, 2010;http://iaspub.epa.gov/sor_internet/registry/termreg/searchandretrieve/termsandacronyms/search.do;"""[The coefficient of performance] indicates the heating efficiency of ground-source and water-source heat pumps. [...] The higher the COP, the more efficient the heat pump.""";"Office of the Administrator/Office of Business and Community Innovation
";Top Green Home Terms;website, 2010;http://www2.epa.gov/science-and-technology;"The heat delivered by a heat pump is theoretically the sum of the heat extracted from the heat source and the energy needed to drive the cycle. The steady-state performance of an electric compression heat pump at a given set of temperature conditions is referred to as the coefficient of performance (COP). 
For engine and thermally driven heat pumps the performance is indicated by the primary energy ratio (PER). The energy supplied is then the higher heating value (HHV) of the fuel supplied. For electrically driven heat pumps a PER can also be defined, by multiplying the COP with the power generation efficiency.
The COP or PER of a heat pump is closely related to the temperature lift, i.e. the difference between the temperature of the heat source and the output temperature of the heat pump. The COP of an ideal heat pump is determined solely by the condensation temperature and the temperature lift (condensation - evaporation temperature).
";"IEA Heat Pump Centre c/o SP Technical Research Institute of Sweden

";Heat pump performance;website, 2012;http://www.heatpumpcentre.org/en/Sidor/default.aspx;null;COP curve, COP inclination, COP values, daytime COP;theoretical COP, relative COP, acceptable COP, operational COP;to define a coefficient of performance;null;null;null;measure;null;null;null;;;;;;;;
combined heat and power;n.;null;geothermal energy;mechanical engineering;cogénération;A process that transforms primary energy into both thermal and electrical energy.;"eurelectric

";European Combined Heat & Power: A Technical Analysis of Possible Definition of the Concept of “Quality CHP”;report, 2002;null;"""Once available at production well heads, geothermal fluids can be used for electric power generation or non-electric (direct uses) heating purposes or both (combined heat and power).""";"Ruggero BERTANI, Pierre UNGEMACH

";Geothermal Electricity and Combined Heat and Power;report, 2008;http://www.erec.org/fileadmin/erec_docs/Projcet_Documents/RESTMAC/EGEC-Brochure_Geothermal_E_CHP.pdf;"CHP systems achieve typical effective electric efficiencies of 50 to 80 percent — a dramatic improvement over the average efficiency of separate heat and power. Since CHP is highly efficient, it reduces traditional air pollutants and carbon dioxide, the leading greenhouse gas associated with climate change. 
Many CHP plants, especially those using a low-temperature resource, started as just a district heating project. The electric power plant was later added, and became economical, as the well and pumping systems were already in place. All the power plant designers/ operators did was take some temperature off the top, yet still providing enough temperature (energy) for the district heating system.";"Office of Air and Radiation/Office of Atmospheric Programs/Climate Change Division
";Clean Energy Glossary;website, 2007;http://iaspub.epa.gov/sor_internet/registry/termreg/searchandretrieve/termsandacronyms/search.do?search=;uncountable noun;combined heat and power system, CHP plant, geothermal combined heat and power plant, combined heat and power generation, combined heat and power production;geothermal combined heat and power;null;null;null;null;process;null;turbine, alternator;CHP plant;;;;;;;;
compressor;n.;null;geothermal energy;heat exchange;compresseur;A device that raises the pressure of a compressible fluid such as air or gas. ;Petex and the University of Texas Austin;Dictionary of Petroleum Terms;website, 2012;http://www.osha.gov/SLTC/etools/oilandgas/glossary_of_terms/glossary_of_terms_c.html;"1. ""Geothermal plants routinely have air compressors to operate pneumatic devices and some condensing plants have compressors to remove noncondensable gases. The purpose of a compressor is to increase the pressure of the fluid, be it a gas such as air (i.e. a perfect gas) or a vapor (not a perfect gas).""

2. ""The compressor [of a heat pump] is the system component that is responsible for creating a pressure difference in the system that allows refrigerant to flow through the system. [...] The vapor refrigerant that enters the compressor is at a low temperature and a low pressure. At the outlet of the compressor, the vapor refrigerant is at a high temperature and a high pressure.""";Ronald DIPIPPO;Geothermal power plants: principles, applications, case studies and environmental impact;Butterworth-Heinemann, 2008;;All compressors require a drive mechanism such as an electric motor or turbine to operate, and all are rated according to their discharge capacity and flow rate. Most compressors require auxiliary components for cooling, lubrication, filtering, instrumentation, and control.;"CENTER FOR THE ADVANCEMENT OF PROCESS TECHNOLOGY(CAPT)

"; Process Technology Equipment;ebook, 2012;http://fr.scribd.com/doc/94035297/process-technology-equipment#scribd;null;compressor exit, dual compressor heat pump, air compressor, compressor unit, high-pressure compressor, low-pressure compressor, primary air compressor;centrifugal compressor;to drive a compressor;null;null;null;device;rotary screw compressor, rotary vane compressor, scroll compressor, reciprocating compressor, centrifugal compressor, air compressor;electric motor OR turbine, receiver, pump;flash plant (not systematic), dry steam plant (not systematic), heat pump;;;;;;;;
condenser;n.;null;geothermal energy;geological exploration;condenseur;A heat exchanger in which the heat in vapors is transferred to a flow of cooling water or air, causing the vapors to form a liquid.;Petex and the University of Texas Austin;Dictionary of Petroleum Terms;website, 2012;http://www.osha.gov/SLTC/etools/oilandgas/glossary_of_terms/glossary_of_terms_c.html;"1. ""In a plant using a binary system, geothermal fluid [...] is then condensed in a condenser which may be cooled by air or by water from a cooling tower. The condensed fluid is then recycled back to the heat exchanger, closing the cycle within the sealed system""

2. ""In a plant using flash design, [...] steam exhausted from the steam turbine is condensed in a surface or direct contact condenser cooled by cold water from a cooling tower.""

3. ""A ground source or geothermal heat pump works in much the same way as the heat pumps that power air conditioners and refrigerators. [...]. The condenser is a length of copper tubing. The refrigerant in it is pressurized by the compressor. When the pressure on a liquid is increased, it rises in temperature. As the fluid flows through the condenser, the extra heat leaks out of the tubing either into the ground or into the house.""";Emily BEACH; How does a ground source heat pump work ?;website, 2012;http://www.ehow.com/how-does_4693275_geothermal-heating-system-work.html;"Condensers are used both in geothermal plants and in ground source heat pumps.
There are essentially three types of condensers: air-cooled, water-cooled and evaporative. These types differ in how they remove excess heat:
- Air-cooled condensers remove heat by blowing air over the condenser coil
- Water-cooled condensers remove heat by pouring water over the condenser coil
- Evaporative condensers do not typically use a refrigerant. They remove heat by allowing water to evaporate directly into the air.";furnacecompare.com;Glossary of Heating and Cooling Terms;website, 2012;http://www.furnacecompare.com/faq/definitions/condenser.html;null;surface condenser, condenser pressure, condenser tube, condenser apparatus, direct contact condenser, air-cooled condenser, water-cooled condenser, refrigerated condenser;evaporative condenser;null;null;null;null;null;null;null;null;;;;;;;;
core;n.;null;geothermal energy;geological exploration;carotte;A rock sample extracted during the drilling for geological analysis.;"Petex and the University of Texas Austin

";Dictionary of Petroleum Terms;website, 2012;http://www.osha.gov/SLTC/etools/oilandgas/glossary_of_terms/glossary_of_terms_c.html;"""The information gathered from analyzing the core samples can be used to create an accurate geological profile, in order to design the most efficient loop field for site specific ground conditions.""";"SONIC DRILL CORPORATION
";Geothermal drilling;brochure, 2011;http://www.sonic-drill.com/pdf/Geothermal_Drilling.pdf;"Several techniques are available to take a core sample. The goal is to lift out a complete chunk of the material under examination, keeping it as intact as possible. One simple method is to drop a metal cylinder, using gravity to drive the cylinder into the material, and grab a core sample. Other core samples require drilling because of the hardness of the material under investigation. As researchers take the sample, they note the circumstances, including the exact location, date and time, and name of the researcher taking the sample. A core sample must be accompanied by documentation providing context. This includes notes to indicate which way is up, as this can be important, if a mud sample ends up upside-down, for example, scientists might draw erroneous conclusions on the basis of bad information. It is also important to have a precise location for the sample, especially when scientists take multiple samples in a survey of a given area. If samples get mixed up, it can result in data errors.

The word ""core"" can also refer to the center of the earth.";" S.E. SMITH

";What Is a Core Sample?;website, 2012;http://www.wisegeek.com/what-is-a-core-sample.htm;null;core drilling, core bit, core barrel, cores analysis, core log, core logging measurement, drill core;null;null;null;null;null;null;rock sample;null;null;;;;;;;;
core drilling;n.;null;geothermal energy;electricity production;carottage;A drilling technique  referring to the process of obtaining cylindrical rock samples by means of annular-shaped rock-cutting bits.;Drillcat;Drilling Definitions ;website, 2011;http://www.drillcat.com/DrillingDef.html;"""In core drilling, a hollow drill bit is attached to a core barrel so that cylindrical samples of the strata can be obtained."" ";Raja Venkat RAMANI, Albert EVANS, Encyclopædia Britannica Inc.;Coal mining  ;website, 2011;http://www.britannica.com/EBchecked/topic/122975/coal-mining/81654/Core-drilling-and-rotary-drilling?anchor=ref623772;In order to complete a core sample, drilling must be halted at the top of the subsurface of the reservoir. The drillstring is removed from the wellbore, the drillbit removed and a rotary coring bit is attached in its place. Similar to a drillbit, the rotary coring bit consists of solid metal with diamonds or tungsten for cutting at the reservoir rock, but unlike a drillbit, a rotary coring bit has a hollow center.;Rigzone; How Does Core Analysis Work?;website, 2012;http://www.rigzone.com/training/insight.asp?insight_id=325&c_id=18;null;core drilling rig, diamond core drilling, shot core drilling, air(-)core drilling, surface core drilling, underground core drilling;null;null;null;null;null;null;drilling technique;null;null;;;;;;;;
double flash plant ;n.;null;geothermal energy;well drilling;centrale double-flash;A flash plant involving a second flash process imposed on the separated liquid leaving the primary separator in order to generate additional steam.;Ronald DIPIPPO;Geothermal power plants: principles, applications, case studies and environmental impact;Butterworth-Heinemann, 2008;null;"""In this case, the water separated at the first stage tank is directed to a second stage flash tank where more (but lower pressure)steam is separated. Remaining water from the second stage tank is then directed to disposal. The so-called double flash plant delivers steam at two different pressures to the turbine.""";"Kevin RAFFERTY, US DEPARTMENT OF ENERGY
";Geothermal Power Generation - a primer on low-temperature, small-scale applications;website, 2013;http://www1.eere.energy.gov/tribalenergy/guide/geothermal_project_development.html;The double-flash steam plant is an improvement on the single-flash design in that it can produce 15-25% more power output for the same geothermal fluid conditions. The plant is more complex, more costly and requires more maintenance, but the extra power output often justifies the installation of such plants.;Ronald DIPIPPO;Geothermal power plants: principles, applications, case studies and environmental impact;Butterworth-Heinemann, 2008;http://books.google.fr/books?id=oI5HkYp1nigC&pg=PA128&lpg=PA128&dq=%22double+flash+plants%22&source=bl&ots=p9tVO1qtYZ&sig=SpfudCUxctYc_zS2bGpAInRfQJM&hl=fr&sa=X&ei=5rZTT9DEKuid0AW6wtXaCw&ved=0CFAQ6AEwBA#v=onepage&q=%22double%20flash%20plants%22&f=false;null;null;null;null;null;null;null;null;flash plant;flash tanks, separator, turbine, generator, production well, condenser, pump, injection well;null;;;;;;;;
